"NOME","SEMESTRE","TIPO"
"PROGRAMAÇÃO I",1,"Obrigatoria"
"PROGRAMAÇÃO II",2,"Obrigatoria"
"PARADIGMAS DE LING. DE PROGRAMAÇÃO",4,"Obrigatoria"
"TEORIA DOS GRAFOS",2,"Obrigatoria"
"TEORIA DA COMPUTAÇÃO",3,"Obrigatoria"
"ESTRUTURA DE DADOS E ALGORITMOS",3,"Obrigatoria"
"LÓGICA MATEMÁTICA",4,"Obrigatoria"
"INTRODUÇÃO A COMPUTAÇÃO",1,"Obrigatoria"
"ORG.E ARQUITETURA DE COMPUTADORES I",4,"Obrigatoria"
"CALCULO DIFERENCIAL E INTEGRAL I",1,"Obrigatoria"
"MATEMÁTICA DISCRETA",2,"Obrigatoria"
"ALGEBRA VETORIAL E GEOMETRIA ANALÍTICA",1,"Obrigatoria"
"PROBABILIDADE E ESTATÍSTICA",3,"Obrigatoria"
"METODOS ESTATISTICOS",4,"Obrigatoria"
"FUNDAMENTOS DE FÍSICA CLÁSSICA",2,"Obrigatoria"
"FUNDAMENTOS DE FÍSICA MODERNA",3,"Obrigatoria"
"GERÊNCIA DA INFORMAÇÃO",3,"Obrigatoria"
"ENGENHARIA DE SOFTWARE I",4,"Obrigatoria"
"SISTEMAS DE INFORMAÇÃO I",4,"Obrigatoria"
"LAB.DE ESTRUTURA DE DADOS E ALGORITMOS",3,"Obrigatoria"
"LABORATÓRIO DE PROGRAMAÇÃO I",1,"Obrigatoria"
"LABORATÓRIO DE PROGRAMAÇÃO II",2,"Obrigatoria"
"LAB.DE ORG.E ARQUITETURA DE COMPUTADORES",4,"Obrigatoria"
"LABORATÓRIO DE ENGENHARIA DE SOFTWARE",5,"Obrigatoria"
"LAB.DE INTERCON.DE REDES DE COMPUTADORES",6,"Obrigatoria"
"PROJETO EM COMPUTAÇÃO I",7,"Obrigatoria"
"PROJETO EM COMPUTAÇÃO II",8,"Obrigatoria"
"ANÁLISE E TÉCNICA DE ALGORITMOS",5,"Complementar"
"MÉTODOS E SOFTWARE NUMÉRICOS",7,"Complementar"
"METODOLOGIA CIENTÍFICA",2,"Complementar"
"DIREITO E CIDADANIA",6,"Complementar"
"INFORMÁTICA E SOCIEDADE",5,"Complementar"
"COMPILADORES",5,"Complementar"
"REDES DE COMPUTADORES",5,"Complementar"
"INTERCONEXÃO DE REDES DE COMPUTADORES",6,"Complementar"
"SISTEMAS OPERACIONAIS",6,"Complementar"
"BANCO DE DADOS I",5,"Complementar"
"BANCO DE DADOS II",6,"Complementar"
"SISTEMAS DE INFORMAÇÃO II",5,"Complementar"
"AVAL.DE DESEMPENHO DE SISTEMAS DISCRETOS",7,"Complementar"
"SEMINÁRIOS (EDUCAÇÃO AMBIENTAL)",,"Complementar"
"SEMINARIOS (DIREITOS HUMANOS)",,"Complementar"
"CALCULO DIFERENCIAL E INTEGRAL II",2,"Obrigatoria"
"ALGEBRA LINEAR I",3,"Obrigatoria"
"TECC ( TEORIA DAS FILAS E SIM DIGITAL )",,"Complementar"
"SEMINÁRIOS (EDUCAÇÃO ESPECIAL)",,"Complementar"
"LEITURA E PRODUCAO DE TEXTOS",1,"Obrigatoria"
"INTELIGENCIA ARTIFICIAL I",6,"Complementar"
